"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"95"	"1810058I24Rik"	1302	-0.254361677044916	7.60455852381247	2.0195153367989	0.192134309700488	0.335500583605439
"96"	"1810062G17Rik"	911	1.83328518928007	-1.54262331594238	4.9715115867463	0.0554890720345862	0.147750435847533
"97"	"1810062O18Rik"	751	1.57452599773852	-1.51739258600128	3.72619478342203	0.0887386515651048	0.199312906640329
"98"	"2010001A14Rik"	764	0.875081157996259	0.654479550248152	4.18212933031429	0.0741829559415505	0.177562277868481
"99"	"2010012O05Rik"	2176	-0.195648544162532	5.19050406897584	0.945390686908152	0.358664389408017	0.512776824918013
"100"	"2010016I18Rik"	1558	0.735499183019497	0.248276250572767	2.18755707584108	0.176438317004023	0.317144634866624
"101"	"2010107E04Rik"	365	-0.376924190532178	8.97968005778763	4.61078480210262	0.0631793838399174	0.160098054020382
"102"	"2010111I01Rik"	9141	-0.192024568425336	6.24308080287475	1.70762633657256	0.22670425632813	0.373647586039211
"103"	"2010204K13Rik"	946	-0.782469322984247	5.49974063957218	17.5044023080893	0.00289228551751815	0.0233152239600404
"104"	"2010315B03Rik"	2759	0.396500475102843	0.844483583125499	1.2006229042098	0.304292970169744	0.458648357149821
"105"	"2010320M18Rik"	745	-0.650319224330144	2.90461083349571	8.45952685569445	0.0190972591016054	0.0756092561811634
"106"	"2200002D01Rik"	507	-0.26926288054194	1.45202246162839	0.67043505639739	0.436018331753452	0.584955662157126
"107"	"2210013O21Rik"	856	0.717888430089835	3.78544097740353	12.3365360014581	0.00761402754026728	0.0421852059778881
"108"	"2210015D19Rik"	1840	-0.267321889969201	4.76504847351763	2.14135522821211	0.180576000244232	0.321211514453136
"109"	"2210016F16Rik"	2822	-0.274824823045528	8.27699528377318	2.90084078345804	0.125969175992777	0.252085512237882
"110"	"2210016L21Rik"	1320	-0.0735434162869369	5.4188438260983	0.189004804839486	0.674946505669563	0.779186811779374
"111"	"2210018M11Rik"	4014	-0.128191733839218	2.62500800482322	0.257816688607827	0.624980204165104	0.74112164120329
"112"	"2210404O09Rik"	2221	-0.0430008187916384	1.08183445914851	0.013954995557206	0.908802579940963	0.942080640418083
"113"	"2210408I21Rik"	5632	-0.769410444911161	0.951449611202903	4.46832926543822	0.0665891929162662	0.165514806479657
"114"	"2300009A05Rik"	598	-0.575194945808769	5.87878413548569	9.25293347016936	0.0155361583416536	0.0663952746093619
"115"	"2310001H17Rik"	769	-0.204420263911717	4.9616827304835	0.947857358205874	0.358070778481541	0.512427104042506
"116"	"2310009A05Rik"	492	-0.103417338638511	5.10448032445737	0.203879852047293	0.66329554469899	0.770844822299437
"117"	"2310009B15Rik"	571	-0.430691479055507	4.0652314667072	3.89745984802527	0.0828735166458548	0.191084602737235
"118"	"2310010J17Rik"	538	-0.10139315274875	4.41620262821856	0.16683802687532	0.693382714091313	0.792812052000279
